Display Order Code,Item SKU Code,Sale Order Status,Sale Order Item Status,Shipping Package Creation Date,Shipping Package Status Code,Created,Channel Shipping,Item Details
91013131125,8.90442E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131125,8.90442E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131173,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131196,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131196,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:35,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131208,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 19:05,CREATED,12-02-2023 20:54,FALSE,
91013131227,8.90609E+12,PROCESSING,FULFILLABLE,13-02-2023 18:35,CREATED,12-02-2023 20:54,FALSE,
