Display Order Code,Item SKU Code,Channel Name,Sale Order Status,Sale Order Item Status,Shipping Package Creation Date,Shipping Package Status Code,Created,Channel Shipping
91012657779,118,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,55,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,55,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,36,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,36,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,327,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657784,324,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657794,51,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657794,51,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657794,100,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657794,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657794,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657798,161,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657800,4,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657800,87,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
