Display Order Code,Invoice Created,Item SKU Code,Channel Name,Sale Order Status,Sale Order Item Status,Shipping Package Creation Date,Shipping Package Status Code,Tracking Number,Facility,Created,Channel Shipping,Item Details
91012630705,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:30,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630705,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:30,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630705,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:30,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630705,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:30,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630720,,17,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630720,,12,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630728,,18,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630728,,18,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630728,,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630728,,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630730,,20,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630730,,20,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630734,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630734,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630734,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630734,,21,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630738,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630739,,22,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630739,,22,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630743,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630743,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630743,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630743,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630760,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630760,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630769,,22,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630769,,22,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630774,,23,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630774,,24,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630777,,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630777,,8,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630777,,25,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630777,,26,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630783,,1,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630783,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630783,,27,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630783,,28,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630793,,29,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630793,,30,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630798,,31,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630798,,32,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630806,,33,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630806,,12,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,34,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,35,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,36,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,37,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,26,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630808,,38,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630813,,39,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630813,,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630813,,9,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630813,,40,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630815,,41,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630815,,42,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630816,,43,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630816,,43,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630816,,18,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630816,,8,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630816,,9,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630818,,7,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630818,,44,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630838,,17,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630838,,17,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630865,,45,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630865,,46,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630888,,47,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630888,,48,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630902,,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630902,,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630908,,49,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630908,,50,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630909,,51,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,2,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630901,,52,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,2,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,53,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,12,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,54,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630867,,55,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630906,,17,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630906,,17,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630915,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630920,,1,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630920,,1,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630920,,56,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630923,,57,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630923,,58,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630923,,59,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630924,,60,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630924,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630927,,18,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630927,,61,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630935,,62,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630935,,50,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630942,,63,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630942,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630948,,24,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630948,,24,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630956,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630956,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:12,FALSE,
91012630968,,63,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630968,,63,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630969,,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630969,,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630969,,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630969,,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,64,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,18,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,11,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,16,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,8,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
91012630970,,9,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:25,CREATED,,SRF Pataudi,11-01-2023 21:13,FALSE,
